"genotype","mat","media","temp","n","avgLS","StddevLS","medianLS","gompShape","gompRate","gompLogLik","gompAIC","weibShape","weibScale","weibLogLik","weibAIC","delta_LL"
"BY4742","MATalpha","YPD + 0.2 mM caffeine",30,138,22.7463768115942,11.2801496044092,21,0.068559575329298,0.0125712506968094,-526.726795449544,1057.45359089909,2.12896416550634,25.6717204257941,-525.092756334026,1054.18551266805,1.63403911551757
"BY4742","MATalpha","YPD + 0.5 mM caffeine",30,140,23.3428571428571,11.0406517823001,22,0.0677027070663748,0.0122377684870976,-535.189359205532,1074.37871841106,2.24390652553476,26.3435904459901,-530.343884335626,1064.68776867125,4.84547486990573
"BY4742","MATalpha","YPD + 2 mM caffeine",30,139,23.1654676258993,10.6141805081434,23,0.0662051347430837,0.01294590492692,-530.055926501792,1064.11185300358,2.33603155098225,26.1808426457904,-519.756996491175,1043.51399298235,10.2989300106171
"BY4742","MATalpha","YPD + 5 mM caffeine",30,140,17.1714285714286,7.07812808764274,17,0.113041436438883,0.0128504750757858,-477.860819276634,959.721638553268,2.60795964480864,19.3158316062871,-470.366273766716,944.732547533433,7.4945455099176
"BY4742","MATalpha","YPD + 20 mM caffeine",30,75,6.10666666666667,3.87498328970532,6,0.120573178333786,0.0884511960220178,-201.672622313762,407.345244627524,1.63079385684127,6.82972902308453,-199.179330121099,402.358660242199,2.49329219266272
"tor1","MATalpha","0.05% D",30,180,30.3444444444444,11.9483629332476,30,0.0674524302743914,0.00672592614024056,-711.896229329608,1427.79245865922,2.73673595980491,34.1360505313974,-697.913208958733,1399.82641791747,13.9830203708751
"BY4743","Diploid","YPD",30,540,36.1,11.2520952491241,37,0.101686988096264,0.00155612424599228,-2049.11463381686,4102.22926763373,3.75785509377305,40.0044036777665,-2067.06766192198,4138.13532384396,-17.9530281051175
"BY4741","MATa","SD 2% D",30,60,23.0666666666667,7.97637755312877,22,0.10490956335591,0.00674369129993991,-214.754272448323,433.508544896646,3.11439969801227,25.8026647004965,-208.672513128017,421.345026256034,6.08175932030619
"tor1","MATalpha","YPD no 4C",30,80,20.4875,7.49006726237733,19.5,0.100327427350679,0.0101263594222996,-282.972413653686,569.944827307372,2.91039745484104,22.9774574250384,-272.93733602839,549.874672056779,10.0350776252964
"sir2","MATalpha","YPD no 4C",30,80,15.2125,5.31225892975002,15,0.102108799486597,0.020723918290332,-265.85093232683,535.70186465366,2.82800211956532,16.9835315319333,-246.992837013573,497.985674027145,18.8580953132575
"BY4741","MATa","YPD no 4C",30,80,19.55,7.7800458818731,18.5,0.107214186433102,0.00998912738590595,-280.817639998144,565.635279996287,2.74489113268804,22.0299407433163,-274.95401862764,553.90803725528,5.86362137050355
"BY4742","MATalpha","YPD+ 0.02 ug/ml CsA",30,120,17.45,9.55290443756648,16,0.0573418480832816,0.0255325095638424,-440.062498517696,884.124997035392,1.91782452448163,19.6829792205014,-431.761947140777,867.523894281555,8.30055137691858
"BY4742","MATalpha","YPD+ 0.04 ug/ml CsA",30,120,18.0333333333333,10.6888250239283,16,0.0429405877193155,0.0293537181705524,-450.479665725956,904.959331451912,1.76387732541322,20.2652934471454,-442.060103672989,888.120207345977,8.41956205296719
"BY4742","MATalpha","YPD+ 0.1 ug/ml CsA",30,120,17.9,9.91425423190216,16,0.0545983324827889,0.0252887571816806,-444.010222039718,892.020444079435,1.9141710237641,20.2296455284545,-434.486206836352,872.972413672705,9.52401520336514
"BY4741","MATa","YPD+0.2mM Gemfibrozil(.05mg/mL)",30,80,31.825,8.96374554397966,31.5,0.115915466366442,0.00179791234551068,-290.569551242859,585.139102485719,4.04740096943584,35.1239143945524,-287.900545944548,579.801091889095,2.66900529831167
"BY4741","MATa","YPD+0.4mM Gemfibrozil(.1mg/mL)",30,200,31.73,10.1564198574895,32,0.0976006346700244,0.00285798475792426,-752.15433599901,1508.30867199802,3.50885579089421,35.2992445592868,-745.340932751035,1494.68186550207,6.81340324797497
"BY4742","MATalpha","2% Gal",30,80,23.3875,8.49645309466682,24,0.0663926601141796,0.0134187166551888,-300.667715910981,605.335431821962,2.78258422455694,26.1409364911593,-284.1992092005,572.398418401001,16.4685067104807
"BY4742","MATalpha","YPD + sir2 nearby",30,119,26.7226890756303,8.68460977504917,26,0.10561531270226,0.0042474635574827,-433.053822819714,870.107645639429,3.37995705992884,29.7833734196519,-424.768733859498,853.537467718997,8.28508896021589
"BY4742","MATalpha","YPD + WT nearby",30,120,23.2416666666667,8.30105372812385,23,0.116629230406043,0.00520740596630662,-425.641888670115,855.283777340231,3.09019807861864,25.9721546575833,-423.804979555419,851.609959110838,1.83690911469654
"BY4742","MATalpha","YPD + rad52 nearby",30,60,28.3166666666667,10.5179292714009,30,0.0996777608931562,0.00384251577475066,-224.345163765686,452.690327531371,3.06314711413854,31.7315070080458,-225.142095923384,454.284191846769,-0.796932157698762
"BY4742","MATalpha","SD 3% Gly",30,80,31.4,12.2097699000701,32.5,0.0841678547027824,0.00400429338045357,-310.21558823575,624.4311764715,2.78796876299724,35.0040564712357,-316.089284370451,636.178568740902,-5.87369613470082
"BY4742","MATalpha","SD 3% Gly 0x MnSO4",30,79,32.4430379746835,13.1224478206709,36,0.0942282637784543,0.00267243188950757,-305.549506430342,615.099012860684,2.67205611908987,36.1228379844974,-319.327472448552,642.654944897104,-13.7779660182101
"BY4742","MATalpha","SD 0.05% D",30,160,34.34375,13.1904515088108,32.5,0.0596080483603003,0.00597419429557908,-651.702691043287,1307.40538208657,2.79598317092153,38.6386547007352,-635.422910642165,1274.84582128433,16.2797804011225
"BY4742","MATalpha","SD 0.05% D 0x MnSO4",30,80,28.7,9.88593169962347,27.5,0.0835862513125595,0.00556862452949339,-303.334541516948,610.669083033895,3.12831616863925,32.0214783775655,-296.408182489351,596.816364978701,6.92635902759719
"BY4742","MATalpha","SD 2% D 0x MnSO4",30,78,19.0512820512821,9.31818141208384,18.5,0.0880713607443511,0.0136936449148504,-281.81018409685,567.620368193699,2.14301824909264,21.4403532275189,-283.415161060548,570.830322121097,-1.60497696369862
"BY4741","MATa","YPD+1.25% Ethanol",30,200,25.94,9.79726143666134,26,0.0937340015099546,0.00582445657813331,-742.845910186764,1489.69182037353,2.86780785094584,28.9907686794636,-742.446424427851,1488.8928488557,0.399485758913443
