"sd.rgompertz","current.seed","scale","sderr","Delta_LL","G","R","LWei","LGomp","MeanLF","Delta_LL.flex","LWei.flex","LGomp.flex","G.flex.estimated","R.flex.estimated","LLG.par","LLR.par","gamma.flex.estimated","theta.flex.estimated"
10.0352093253813,12345,2,20.0704186507626,0.685225819855987,0.12,0.001,-8284.5739299251,-8285.25915574496,38.2527704485488,0.685201564556337,-8284.5738786762,-8285.25908024076,0.0355442163495716,0.00881030564121129,-3.33717027761599,-4.73133361429587,2.00400308203136,42.9131214760009
9.68325593563168,12345,3,29.049767806895,-4.18555165870748,0.12,0.001,-8081.81577533139,-8077.63022367268,43.1061643835616,-4.18678588685361,-8081.8154684173,-8077.62868253044,0.0209892324565778,0.0109404981184464,-3.86592750039629,-4.51364530555865,1.63926716046313,47.9713532615518
8.07221187357543,12345,0,0,-107.626922955318,0.15,0.001,-6989.98792184788,-6882.36099889256,29.79,-107.626887064048,-6989.98778812096,-6882.36090105691,0.150099462033821,0.000995126090997388,-1.8963979219162,-6.91260363819107,4.42928951745902,32.6541857183813
8.3639601109423,12345,0.1,0.83639601109423,-115.313372724696,0.15,0.001,-7070.62881556184,-6955.31544283715,29.8482724086129,-115.313400057951,-7070.62879893349,-6955.31539887554,0.14238331310732,0.00119121922548413,-1.94905827687872,-6.73348804370076,4.22376416845971,32.7732085274646
7.8739137926875,12345,0.2,1.5747827585375,-107.184844619372,0.15,0.001,-7006.05576698859,-6898.87092236922,30.002,-107.184900831333,-7006.05566145103,-6898.8707606197,0.14708099346146,0.00104665140828904,-1.91649290307449,-6.86317471784081,4.41407098144771,32.8458655001093
8.04206652872328,12345,0.3,2.41261995861699,-101.397192107814,0.15,0.001,-7107.13036965923,-7005.73317755142,29.871,-101.397238343916,-7107.13031679507,-7005.73307845116,0.1378475499441,0.00133275013864519,-1.98155862919287,-6.6204000824031,4.14289336227877,32.8071546619797
8.25448867741482,12345,0.4,3.30179547096593,-78.9005692515166,0.15,0.001,-7176.21007962233,-7097.30951037082,29.6935807422267,-78.9005165201452,-7176.2100001875,-7097.30948366735,0.127222492943988,0.00176956046582053,-2.06195501486276,-6.33648998299653,3.89496317296282,32.717877698726
8.12879395214553,12345,0.5,4.06439697607277,-73.1737723072201,0.15,0.001,-7279.32223625093,-7206.14846394371,29.9829744616925,-73.1737825508462,-7279.32220593638,-7206.14842338553,0.119415391919122,0.00205205088318147,-2.12500473755288,-6.18931335383377,3.73157063630806,33.0992380845913
8.22642415439647,12345,0.6,4.93585449263788,-35.2941309332282,0.15,0.001,-7314.03057567054,-7278.73644473731,30.0256152687092,-35.2941015893584,-7314.03053245311,-7278.73643086375,0.111208213338318,0.00249139019290611,-2.19644717770153,-5.99455604318347,3.59316561511131,33.2375057204734
8.1192672915987,12345,0.7,5.68348710411909,-17.1227591348434,0.15,0.001,-7410.2336839027,-7393.11092476786,29.6047094188377,-17.1226406754704,-7410.2335613008,-7393.11092062532,0.103270663292468,0.00314713946050577,-2.27039520273894,-5.76134593253504,3.36429730085243,32.8841904582117
