"sd.rnormal","current.seed","scale","sderr","Delta_LL","mean_in","LWei","LGomp","MeanLF","Delta_LL.flex","LWei.flex","LGomp.flex","G.flex.estimated","R.flex.estimated","LLG.par","LLR.par","gamma.flex.estimated","theta.flex.estimated"
2.02840108609661,12345,2,2,49.3384472778098,35,-4381.17142139524,-4430.50986867305,35.0315,49.338593627961,-4381.1712919523,-4430.50988558026,0.490886407643034,1.00907469323469e-08,-0.711140083482541,-18.4187715075553,17.8332858292298,35.9995466893327
3.02787136966639,12345,3,3,63.8289433321179,35,-5134.78012433315,-5198.60906766527,35.1295,63.8290096870714,-5134.7800406783,-5198.60905036537,0.336140805595173,1.50342068321391e-06,-1.09025852867149,-13.4074973040087,12.3757488329577,36.5203453165015
4.00865349214286,12345,4,4,114.747685233833,35,-5710.90356152836,-5825.6512467622,35.071,114.747702364521,-5710.90347164678,-5825.6511740113,0.238748285298431,3.41083343788728e-05,-1.43217433998935,-10.2875005742666,9.11621250450645,36.863279414325
5.10518842834049,12345,5,5,104.809973750168,35,-6140.71422696458,-6245.52420071475,34.9005,104.809989314489,-6140.7141843692,-6245.52417368369,0.19717674933491,0.000122876679887878,-1.6236332105075,-9.00463909962506,7.43911126604516,37.0919026497322
1.00024305177935,12345,1,1,22.1462758765119,40,-3020.16748441309,-3042.3137602896,39.9735,22.1463663935574,-3020.16736652792,-3042.31373292148,0.985823938860387,4.56556199583142e-18,-0.0141597275203201,-39.9326120310295,40.0622498914254,40.4747749532348
1.97769065288831,12345,2,2,43.7315056864263,40,-4336.47562722148,-4380.20713290791,39.904,43.7312221456468,-4336.47556345462,-4380.20678560027,0.502815590397292,5.87904398902692e-10,-0.687183444771197,-21.2611207062187,20.7219513662286,40.8548389556623
3.04518932334202,12345,3,3,68.9227276073107,40,-5165.15736232131,-5234.08008992862,40.0155,68.9227148513482,-5165.15732529036,-5234.0800401417,0.32570226931289,4.3402046153178e-07,-1.12191972177946,-14.6482176127818,13.7315806004717,41.4252808218945
3.97651306248086,12345,4,4,70.4655781761339,40,-5668.82166838383,-5739.28724655997,40.018,70.4655952751054,-5668.82164165772,-5739.28723693282,0.256960810337512,5.27420410278957e-06,-1.35885243664784,-12.1523880756921,10.8211017072016,41.8203208977254
4.80939792486656,12345,5,5,81.2420991328754,40,-6028.57485237393,-6109.8169515068,39.9915,81.2421481939282,-6028.57476586984,-6109.81691406376,0.213273143539521,2.53172864069223e-05,-1.5452141976584,-10.58393153656,9.05247137912992,42.1153116024146
1.00719391581536,12345,1,1,17.8019498334979,50,-3065.96751191387,-3083.76946174737,50.0055,17.8019278327388,-3065.96748391724,-3083.76941174998,0.966947007661282,5.82582812738882e-22,-0.0337314581908687,-48.8886903770805,49.0075378427131,50.5204034172987
